date,SCU,ZCF,SAL,DXC,DXM,ZSR,DXY,SRU
20061201,996.7534208,1003.170356,998.2696987,997.8265808,989.7979372,967.1833025,993.5579519,959.8950543
20061204,1001.293784,1007.682154,1014.257589,988.1909917,968.2851076,952.6097258,995.3846473,969.5623774
20061205,982.1398111,1009.394196,1007.667311,984.4774164,958.1437006,954.6974605,991.4252798,992.1416587
20061206,996.6908809,1006.246852,1009.591429,982.0103541,950.2083943,943.5631984,992.3900875,983.726351
20061207,985.3643139,1001.082492,1004.444957,985.909859,960.5459825,944.8403648,978.9502393,990.7020788
20061208,980.5357273,1000.985889,1011.221115,988.8124862,961.5070677,946.9929852,980.7227491,1022.151215
20061211,978.5907939,999.1210257,1010.768766,1004.422648,962.1358795,954.832621,990.9570724,1020.522855
20061212,984.9830832,1008.509892,1012.951237,1015.445186,963.6875801,955.3243114,1010.548522,1024.797042
20061213,980.6239533,1002.127934,1024.336438,1008.156706,955.4135028,944.8661555,998.9826531,1014.892919
20061214,969.1173319,1007.499176,1020.349449,1009.371512,964.0039893,953.9484335,1000.966264,1025.547713
20061215,970.8026523,1012.042233,1025.382236,1012.656146,957.6637231,951.7797727,987.4703352,1016.890008
20061218,969.8652726,1011.628553,1023.320565,1008.128805,947.2148601,948.4899175,986.4725279,1027.520199
20061219,964.569188,1010.066521,1024.617134,1008.548401,946.4438008,950.5344738,984.5864019,1027.655828
20061220,966.2343519,1010.669043,1028.906386,1013.46949,946.082461,951.5593898,989.2455595,1051.830303
20061221,939.0084293,1007.866267,1023.751861,1029.28827,955.2271848,951.0065586,994.7509378,1052.082057
20061222,909.4608716,1013.890002,1010.537217,1028.318519,954.7505372,944.0274532,993.0062734,1088.867423
20061225,916.1987571,1013.387144,1018.082635,1034.712014,969.8168683,941.947773,997.0479444,1092.548352
20061226,920.0940163,1010.822803,1023.175862,1040.207164,978.3347804,944.3496527,1016.709038,1114.592804
20061227,920.6925826,1009.459086,1028.469383,1024.453598,976.5774013,942.1337235,1008.156819,1117.838743
20061228,932.4559362,1007.90514,1038.53244,1031.071553,988.9949124,944.0780585,1013.307589,1122.928734
20061229,930.2060003,1012.849201,1038.171453,1027.51431,993.6042878,952.2549124,1014.738851,1101.801402
20070104,890.1655973,1003.281723,998.9230923,999.3019885,961.5715249,920.271827,978.1869484,1065.485383
20070105,853.1923335,1005.150478,1010.193503,1007.908759,972.0344442,922.5789219,989.8625132,1028.400791
20070108,815.6177873,1005.274114,983.6341272,1006.076714,967.7273763,923.0903301,982.9163935,1044.716214
20070109,827.9663026,1003.404309,1000.44712,993.6558496,960.7636679,923.8604071,979.8078913,1087.935536
20070110,849.2026847,1002.538776,1012.049409,1000.670305,963.3442988,922.751006,986.3704802,1102.888372
20070111,852.7408944,1001.554464,1006.600815,1009.944639,964.3868934,925.6364741,984.0613844,1109.679543
20070112,841.9324188,984.4832036,1004.788232,1009.841726,960.5935143,919.2851099,979.6705255,1068.078453
20070115,843.6386448,988.1096225,1007.89977,1053.571095,999.5619984,926.9963525,1010.343631,1117.207812
20070116,809.7070833,985.165644,993.7656498,1046.264036,1006.735526,924.4869834,999.5717592,1094.002746
20070117,822.8325712,989.4817362,989.8701724,1042.267689,1019.075507,922.9236449,996.5419486,1106.8551
20070118,833.8412555,987.0204272,996.2049412,1040.70271,1021.026427,913.7062838,993.1989689,1112.060877
20070119,799.1664278,979.2398348,990.7660878,1028.187445,1006.455195,915.105878,984.3728081,1091.007492
20070122,817.1610015,977.4045943,998.3091241,1025.145696,1003.79854,913.58509,983.5316437,1103.870837
20070123,812.0691622,979.9551296,1001.052791,1028.48051,1008.661634,917.7335809,985.744721,1125.196335
20070124,840.36352,982.0536937,1011.407899,1017.481911,1005.213978,918.3934317,984.791994,1148.701585
20070125,848.2524362,982.3710591,1006.328982,1019.929719,1013.539495,918.1163801,985.4196912,1157.185063
20070126,841.3367482,984.1902222,999.9959796,1017.486981,1005.914426,915.8252544,961.5887353,1159.635773
20070129,853.5559084,985.2390575,1005.970142,1020.55439,1008.139433,921.0549912,959.5908357,1201.182432
20070130,818.515517,982.0284105,990.9248846,1015.675132,999.5257985,922.4356222,958.1176943,1187.533097
20070131,827.785008,985.5184547,996.802029,1022.478731,1010.75581,941.2113381,964.0090047,1201.504783
20070201,837.495669,987.3248204,1004.39953,1024.99289,1012.586508,936.9080249,971.9836715,1193.296503
20070202,826.396644,987.6708775,1005.018067,1019.453629,1015.13713,938.4572646,969.5180571,1156.11637
